site_id,study_id,site_name,country,principal_investigator,planned_activation_date,actual_activation_date,target_enrollment,actual_enrollment,site_status
SITE-00201,CT-2024-0012,North Teresabury Memorial Hospital,Poland,Dr. Mckinney,2023-09-25,2023-10-12,25,24,Enrolling
SITE-00202,CT-2024-0012,Andreaside Specialty Clinic,Poland,Dr. Russell,2023-10-31,2023-11-17,26,26,Enrollment Complete
SITE-00203,CT-2024-0012,Port Robin Specialty Clinic,Belgium,Dr. Murray,2023-09-16,2023-10-23,18,18,Enrollment Complete
SITE-00204,CT-2024-0012,Lake Marilynfort Regional Clinical Institute,Belgium,Dr. Cantu,2023-09-25,2023-10-15,19,19,Enrollment Complete
SITE-00205,CT-2024-0012,Williamview Memorial Hospital,United States,Dr. Perry,2023-11-20,2023-12-01,13,13,Enrollment Complete
SITE-00206,CT-2024-0012,Bairdbury General Hospital,Belgium,Dr. Bryant,2023-11-26,2023-12-06,11,11,Enrollment Complete
SITE-00207,CT-2024-0012,South James Health Network,South Korea,Dr. Greene,2023-11-16,2023-12-27,31,31,Enrollment Complete
SITE-00208,CT-2024-0012,Port Chad Specialty Clinic,South Africa,Dr. Barton,2023-09-26,2023-09-27,17,17,Enrollment Complete
SITE-00209,CT-2024-0012,Morganhaven General Hospital,Belgium,Dr. Adams,2023-11-27,2023-11-25,28,28,Enrollment Complete
SITE-00210,CT-2024-0012,West Jessicashire Medical Center,Germany,Dr. Carpenter,2023-12-13,2023-12-13,22,18,Enrolling
SITE-00211,CT-2024-0012,Grimesmouth General Hospital,United States,Dr. Ryan,2023-10-11,2023-10-03,27,27,Enrollment Complete
SITE-00212,CT-2024-0012,Martinside Clinical Research Center,Germany,Dr. Bennett,2023-11-24,2023-12-01,29,29,Enrollment Complete
SITE-00213,CT-2024-0012,Mollybury Medical Center,South Korea,Dr. Armstrong,2023-09-18,2023-09-05,18,18,Enrollment Complete
SITE-00214,CT-2024-0012,Port Kimberly General Hospital,Canada,Dr. Williams,2023-11-25,2023-12-16,14,14,Enrollment Complete
SITE-00215,CT-2024-0012,Thorntonfurt Regional Clinical Institute,Australia,Dr. Hughes,2023-11-12,2023-12-04,27,27,Enrollment Complete
SITE-00216,CT-2024-0012,South Tammie Medical Center,United States,Dr. Martinez,2023-11-27,2023-12-14,22,20,Enrolling
SITE-00217,CT-2024-0012,Mollymouth Clinical Research Center,Australia,Dr. Garcia,2023-10-02,2023-11-15,25,16,Enrolling
SITE-00218,CT-2024-0012,Smithberg University Medical Faculty,Spain,Dr. Ortiz,2023-11-09,2023-10-12,19,19,Enrollment Complete
SITE-00219,CT-2024-0012,North Terrance University Medical Faculty,Netherlands,Dr. Costa,2023-10-09,2023-11-03,24,24,Enrollment Complete
SITE-00220,CT-2024-0012,Cindyfurt University Hospital,Australia,Dr. Santos,2023-11-16,2023-11-14,18,18,Enrollment Complete
SITE-00221,CT-2024-0012,Melissaside University Medical Faculty,South Korea,Dr. James,2023-10-09,2023-11-08,20,20,Enrollment Complete
SITE-00222,CT-2024-0012,Courtneyfort Clinical Research Center,Belgium,Dr. Brennan,2023-11-10,2023-12-09,18,18,Enrollment Complete
SITE-00223,CT-2024-0013,New Caseyport General Hospital,Brazil,Dr. Bright,2023-12-11,2023-11-30,20,20,Enrollment Complete
SITE-00224,CT-2024-0013,South Tiffanyville Health Network,South Korea,Dr. Wallace,2024-03-04,2024-04-23,19,19,Enrollment Complete
SITE-00225,CT-2024-0013,Rebeccaton University Hospital,South Korea,Dr. Nguyen,2024-01-29,2024-02-01,35,35,Enrollment Complete
SITE-00226,CT-2024-0013,West Michaelchester University Medical Faculty,South Korea,Dr. Thomas,2024-01-03,2024-01-25,25,25,Enrollment Complete
SITE-00227,CT-2024-0013,Knightburgh Memorial Hospital,Brazil,Dr. Jackson,2024-01-25,2024-03-03,30,30,Enrollment Complete
SITE-00228,CT-2024-0013,New Monicabury Specialty Clinic,Brazil,Dr. Jimenez,2023-12-20,2023-12-02,25,25,Enrollment Complete
SITE-00229,CT-2024-0013,East Steven University Medical Faculty,Belgium,Dr. King,2024-02-12,2024-02-06,28,28,Enrollment Complete
SITE-00230,CT-2024-0013,Elizabethmouth University Hospital,South Korea,Dr. Santana,2024-02-28,2024-02-29,37,37,Enrollment Complete
SITE-00231,CT-2024-0013,North Scott University Medical Faculty,Belgium,Dr. Reed,2024-01-24,2024-01-06,30,30,Enrollment Complete
SITE-00232,CT-2024-0013,Daniellechester Memorial Hospital,Belgium,Dr. Vaughn,2023-12-10,2023-11-25,43,42,Enrollment Closed
SITE-00233,CT-2024-0014,Bruceborough Medical Center,Italy,Dr. Kidd,2024-01-19,2024-01-20,4,4,Enrollment Complete
SITE-00234,CT-2024-0014,Rodriguezfurt Specialty Clinic,Belgium,Dr. Armstrong,2023-12-12,2023-11-13,8,4,Enrolling
SITE-00235,CT-2024-0014,Victoriaport Clinical Research Center,South Korea,Dr. Johnson,2024-01-27,2024-01-30,6,6,Enrollment Complete
SITE-00236,CT-2024-0014,Hillshire Medical Center,Italy,Dr. Grimes,2023-12-29,2024-01-16,10,10,Enrollment Complete
SITE-00237,CT-2024-0014,New Julieport University Hospital,Spain,Dr. Parsons,2024-01-04,2024-01-29,11,11,Enrollment Complete
SITE-00238,CT-2024-0014,New Laurie General Hospital,Spain,Dr. Robinson,2023-12-13,2023-12-10,10,10,Enrollment Complete
SITE-00239,CT-2024-0014,New John University Hospital,Italy,Dr. Campos,2023-11-25,2023-12-08,11,11,Enrollment Complete
SITE-00240,CT-2024-0014,Lake Colton General Hospital,Canada,Dr. Burton,2024-01-31,2024-02-18,11,11,Enrollment Complete
SITE-00241,CT-2024-0014,West Kristinaton Medical Center,Poland,Dr. Riley,2023-11-13,2023-11-12,4,1,Enrolling
SITE-00242,CT-2024-0014,North Renee General Hospital,Canada,Dr. Murphy,2023-11-11,2023-12-02,12,12,Enrollment Complete
SITE-00243,CT-2024-0014,Thompsonberg Health Network,Belgium,Dr. Buchanan,2024-01-27,2024-02-16,12,12,Enrollment Complete
SITE-00244,CT-2024-0014,Alyssaview Regional Clinical Institute,Spain,Dr. Rivas,2023-12-21,2023-12-06,7,7,Enrollment Complete
SITE-00245,CT-2024-0014,Robinfort Medical Center,Canada,Dr. Coffey,2023-12-20,2024-01-01,11,11,Enrollment Complete
SITE-00246,CT-2024-0014,Juliemouth Regional Clinical Institute,Spain,Dr. Brock,2023-12-15,2024-01-28,6,6,Enrollment Complete
SITE-00247,CT-2024-0014,Mccartyberg Medical Center,Netherlands,Dr. Webster,2023-12-06,2023-12-20,5,5,Enrollment Complete
SITE-00248,CT-2024-0014,Port Erica Health Network,Canada,Dr. Craig,2024-01-19,2024-01-18,8,7,Enrolling
SITE-00249,CT-2024-0014,Coffeyside University Medical Faculty,Canada,Dr. Diaz,2024-01-14,2024-01-30,5,5,Enrollment Complete
SITE-00250,CT-2024-0014,Smithside General Hospital,Japan,Dr. Martinez,2024-01-30,2024-02-25,11,11,Enrollment Complete
SITE-00251,CT-2024-0014,Emilyview General Hospital,South Korea,Dr. Richards,2024-01-23,2024-02-26,4,4,Enrollment Complete
SITE-00252,CT-2024-0014,Danielbury Health Network,Poland,Dr. Ruiz,2024-01-13,2024-02-26,5,3,Enrolling
SITE-00253,CT-2024-0014,Rosebury Medical Center,South Africa,Dr. Holland,2023-11-30,2023-11-07,4,4,Enrollment Complete
SITE-00254,CT-2024-0014,Blankenshipport University Hospital,Spain,Dr. Banks,2024-01-20,2024-03-15,12,12,Enrollment Complete
SITE-00255,CT-2024-0014,East Brandonton University Medical Faculty,France,Dr. Torres,2024-01-07,2024-02-02,5,5,Enrollment Complete
SITE-00256,CT-2024-0014,Wilsonbury Medical Center,Czech Republic,Dr. Clay,2024-01-12,2024-01-27,5,5,Enrollment Complete
SITE-00257,CT-2024-0014,South Shawn Clinical Research Center,Belgium,Dr. Santiago,2023-12-11,2024-01-26,4,4,Enrollment Complete
SITE-00258,CT-2024-0014,Matthewsberg University Medical Faculty,South Korea,Dr. Mcclure,2023-11-30,2023-12-26,9,9,Enrollment Complete
SITE-00259,CT-2024-0014,Port Tracychester Medical Center,South Africa,Dr. Crosby,2023-12-24,2023-12-11,9,9,Enrollment Complete
SITE-00260,CT-2024-0014,Antoniostad Clinical Research Center,Japan,Dr. Robinson,2023-11-24,2023-12-28,6,6,Enrollment Complete
SITE-00261,CT-2024-0014,Sampsonstad Memorial Hospital,Canada,Dr. Garcia,2023-12-28,2023-12-28,5,5,Enrollment Complete
SITE-00262,CT-2024-0014,Amystad University Medical Faculty,Czech Republic,Dr. Brown,2023-12-27,2024-01-18,6,6,Enrollment Complete
SITE-00263,CT-2024-0014,Jamesville Specialty Clinic,Poland,Dr. Rush,2023-12-12,2023-12-03,4,4,Enrollment Complete
SITE-00264,CT-2024-0014,Davisborough Health Network,Netherlands,Dr. May,2024-01-22,2024-01-29,10,10,Enrollment Complete
SITE-00265,CT-2024-0014,North Kristinbury Specialty Clinic,Canada,Dr. Zhang,2024-01-08,2024-02-28,12,12,Enrollment Complete
SITE-00266,CT-2024-0014,North Maria Memorial Hospital,Spain,Dr. Spencer,2024-01-05,2024-01-28,6,5,Enrolling
SITE-00267,CT-2024-0014,Port Molly Health Network,Japan,Dr. Murphy,2023-12-28,2024-02-18,8,8,Enrollment Complete
SITE-00268,CT-2024-0014,Port Rachel General Hospital,France,Dr. Smith,2024-01-23,2023-12-31,10,7,Enrolling
SITE-00269,CT-2024-0014,East Amber Medical Center,South Africa,Dr. Lindsey,2023-11-23,2023-12-05,4,4,Enrollment Complete
SITE-00270,CT-2024-0014,Lake Michelleberg Memorial Hospital,France,Dr. Smith,2023-12-05,2023-12-06,7,7,Enrollment Complete
SITE-00271,CT-2024-0014,New Mario Memorial Hospital,Italy,Dr. Thompson,2023-12-10,2023-12-12,8,8,Enrollment Complete
SITE-00272,CT-2024-0014,East Judyhaven University Medical Faculty,Canada,Dr. Wilson,2023-11-20,2023-11-27,9,9,Enrollment Complete
SITE-00273,CT-2024-0015,South Shanestad Clinical Research Center,Belgium,Dr. Palmer,2026-12-29,,46,0,Identified
SITE-00274,CT-2024-0015,South Williamton Clinical Research Center,Germany,Dr. Acosta,2027-01-07,,29,0,Identified
SITE-00275,CT-2024-0015,Stephentown Health Network,Belgium,Dr. Brown,2026-11-09,,36,0,Identified
SITE-00276,CT-2024-0015,Boonechester Specialty Clinic,Italy,Dr. Parks,2027-01-12,,52,0,Identified
SITE-00277,CT-2024-0015,Josephmouth Medical Center,Germany,Dr. Jones,2027-01-10,,76,0,Identified
SITE-00278,CT-2024-0015,West Charleneland University Medical Faculty,South Africa,Dr. Martinez,2026-12-28,,58,0,Identified
SITE-00279,CT-2024-0015,Oscarhaven General Hospital,Belgium,Dr. Phillips,2026-11-22,,38,0,Identified
SITE-00280,CT-2024-0015,Garciaville Memorial Hospital,Italy,Dr. Farrell,2026-12-12,,75,0,Identified
SITE-00281,CT-2024-0015,South Shannon University Hospital,Belgium,Dr. Perez,2027-01-13,,64,0,Identified
SITE-00282,CT-2024-0015,Mariafurt General Hospital,South Africa,Dr. Perry,2026-12-07,,64,0,Identified
SITE-00283,CT-2024-0015,West Ronaldview General Hospital,Belgium,Dr. Brooks,2027-01-10,,65,0,Identified
SITE-00284,CT-2024-0015,Lake Sandra Clinical Research Center,Belgium,Dr. Jones,2026-11-08,,24,0,Identified
SITE-00285,CT-2024-0016,North Ryanstad Specialty Clinic,Poland,Dr. Cain,2023-03-26,2023-04-06,22,20,Enrollment Closed
SITE-00286,CT-2024-0016,New Sueside Memorial Hospital,Brazil,Dr. Rivera,2023-04-08,2023-04-21,16,16,Enrollment Complete
SITE-00287,CT-2024-0016,South Michaelchester Health Network,Brazil,Dr. Parrish,2023-06-09,2023-05-20,23,23,Enrollment Complete
SITE-00288,CT-2024-0016,West Carolinestad General Hospital,Brazil,Dr. Garcia,2023-04-07,2023-04-22,11,11,Enrollment Complete
SITE-00289,CT-2024-0016,East Diane Specialty Clinic,Brazil,Dr. Walker,2023-03-21,2023-04-07,25,25,Enrollment Complete
SITE-00290,CT-2024-0016,West Meganstad Regional Clinical Institute,Poland,Dr. Wilson,2023-04-19,2023-05-08,12,12,Enrollment Complete
SITE-00291,CT-2024-0016,Audreychester Memorial Hospital,Brazil,Dr. Bruce,2023-05-10,2023-06-05,19,19,Enrollment Complete
SITE-00292,CT-2025-0017,New Sarahview University Hospital,United Kingdom,Dr. Johnson,2023-06-02,2023-05-31,23,23,Enrollment Complete
SITE-00293,CT-2025-0017,Jacquelineport Specialty Clinic,Japan,Dr. Dorsey,2023-06-13,2023-06-29,7,7,Enrollment Complete
SITE-00294,CT-2025-0017,Adamberg Regional Clinical Institute,France,Dr. Knight,2023-06-10,2023-06-20,18,15,Enrollment Closed
SITE-00295,CT-2025-0017,Jonestown Memorial Hospital,Germany,Dr. Davis,2023-05-03,2023-05-30,17,17,Enrollment Complete
SITE-00296,CT-2025-0017,South Robert University Hospital,United Kingdom,Dr. Peterson,2023-04-24,2023-04-24,9,9,Enrollment Complete
SITE-00297,CT-2025-0017,Larrymouth Memorial Hospital,Italy,Dr. Frank,2023-06-07,2023-05-18,13,13,Enrollment Complete
SITE-00298,CT-2025-0017,North Ericton Clinical Research Center,Netherlands,Dr. Craig,2023-04-30,2023-05-14,16,10,Enrollment Closed
SITE-00299,CT-2025-0017,Scottchester University Hospital,Belgium,Dr. Tucker,2023-06-19,2023-07-23,21,21,Enrollment Complete
SITE-00300,CT-2025-0017,Perryborough Memorial Hospital,France,Dr. Fischer,2023-04-09,2023-05-03,13,13,Enrollment Complete
SITE-00301,CT-2025-0017,West Russellport Medical Center,United Kingdom,Dr. Gregory,2023-04-27,2023-05-11,10,10,Enrollment Complete
SITE-00302,CT-2025-0017,Roseport Medical Center,Spain,Dr. Williams,2023-04-04,2023-05-06,22,21,Enrollment Closed
SITE-00303,CT-2025-0017,Joyceton University Hospital,Italy,Dr. Smith,2023-06-02,2023-07-02,11,11,Enrollment Complete
SITE-00304,CT-2025-0017,Sierraberg Health Network,United Kingdom,Dr. Duran,2023-03-28,2023-04-24,16,16,Enrollment Complete
SITE-00305,CT-2025-0017,Marktown General Hospital,United Kingdom,Dr. Jimenez,2023-04-13,2023-04-22,21,21,Enrollment Complete
SITE-00306,CT-2025-0017,Thompsonfurt University Medical Faculty,United Kingdom,Dr. Patel,2023-06-22,2023-07-17,21,21,Enrollment Complete
SITE-00307,CT-2025-0017,New Angelica General Hospital,Germany,Dr. Barnett,2023-06-20,2023-05-19,11,9,Enrollment Closed
SITE-00308,CT-2025-0017,Charleston University Medical Faculty,United States,Dr. Graham,2023-04-13,2023-04-30,7,7,Enrollment Complete
SITE-00309,CT-2025-0017,Morsemouth Memorial Hospital,Netherlands,Dr. Johnston,2023-05-01,2023-04-30,8,8,Enrollment Complete
SITE-00310,CT-2025-0017,Mckinneychester University Medical Faculty,France,Dr. Roberts,2023-04-30,2023-05-02,21,21,Enrollment Complete
SITE-00311,CT-2025-0017,Smithmouth University Hospital,France,Dr. Jackson,2023-05-31,2023-05-25,11,11,Enrollment Complete
SITE-00312,CT-2025-0017,Collierstad Medical Center,Germany,Dr. Davis,2023-03-31,2023-03-31,19,19,Enrollment Complete
SITE-00313,CT-2025-0017,East Ryanfurt General Hospital,Japan,Dr. Warren,2023-05-04,2023-06-18,13,13,Enrollment Complete
SITE-00314,CT-2025-0017,Harrellmouth Health Network,Germany,Dr. Walker,2023-05-04,2023-05-27,8,6,Enrollment Closed
SITE-00315,CT-2025-0017,North William Regional Clinical Institute,Germany,Dr. Wilson,2023-05-11,2023-05-30,8,8,Enrollment Complete
SITE-00316,CT-2025-0017,Port Michael Specialty Clinic,Belgium,Dr. Luna,2023-05-06,2023-05-14,22,19,Enrollment Closed
SITE-00317,CT-2025-0017,East Curtis University Hospital,Australia,Dr. Scott,2023-05-20,2023-06-20,22,22,Enrollment Complete
SITE-00318,CT-2025-0017,New Eric Memorial Hospital,Spain,Dr. Malone,2023-06-01,2023-06-11,13,8,Enrollment Closed
SITE-00319,CT-2025-0017,East Stephaniefort General Hospital,France,Dr. Marshall,2023-04-09,2023-04-17,15,15,Enrollment Complete
SITE-00320,CT-2025-0017,Maldonadoshire Health Network,France,Dr. Day,2023-05-06,2023-05-19,19,19,Enrollment Complete
SITE-00321,CT-2025-0017,Michellemouth Memorial Hospital,Brazil,Dr. Hernandez,2023-06-17,2023-07-13,21,21,Enrollment Complete
SITE-00322,CT-2025-0017,South Scottport General Hospital,Australia,Dr. Hogan,2023-04-12,2023-03-15,13,13,Enrollment Complete
SITE-00323,CT-2025-0017,West Williamport General Hospital,Japan,Dr. Murray,2023-04-26,2023-05-09,20,20,Enrollment Complete
SITE-00324,CT-2025-0017,North Miguelport Specialty Clinic,Netherlands,Dr. Jones,2023-05-04,2023-05-26,8,8,Enrollment Complete
SITE-00325,CT-2025-0017,New Brookefurt Regional Clinical Institute,Belgium,Dr. Ford,2023-05-07,2023-05-22,19,19,Enrollment Complete
SITE-00326,CT-2025-0017,South Reginashire Regional Clinical Institute,South Africa,Dr. Pearson,2023-04-07,2023-03-26,21,21,Enrollment Complete
SITE-00327,CT-2025-0017,Cassidyhaven Regional Clinical Institute,Australia,Dr. Hernandez,2023-04-23,2023-05-19,12,12,Enrollment Complete
SITE-00328,CT-2025-0017,South Dalemouth Health Network,United States,Dr. Haas,2023-05-17,2023-05-20,14,14,Enrollment Complete
SITE-00329,CT-2025-0017,New Debbieton Memorial Hospital,Netherlands,Dr. Wright,2023-04-25,2023-04-23,15,15,Enrollment Complete
SITE-00330,CT-2025-0017,Ritterhaven University Medical Faculty,Brazil,Dr. Mills,2023-05-17,2023-07-09,12,9,Enrollment Closed
SITE-00331,CT-2025-0017,West Nathan Specialty Clinic,Japan,Dr. Campbell,2023-04-05,2023-05-06,19,15,Enrollment Closed
SITE-00332,CT-2025-0017,Schroederton Memorial Hospital,Italy,Dr. Mccormick,2023-06-09,2023-06-12,15,15,Enrollment Complete
SITE-00333,CT-2025-0017,Cameronville University Hospital,Australia,Dr. Grant,2023-05-11,2023-04-26,17,17,Enrollment Complete
SITE-00334,CT-2025-0017,Mitchellberg Clinical Research Center,South Africa,Dr. Cook,2023-03-28,2023-04-07,14,14,Enrollment Complete
SITE-00335,CT-2025-0017,West Kyle University Hospital,Germany,Dr. Douglas,2023-06-07,2023-06-24,14,14,Enrollment Complete
SITE-00336,CT-2025-0017,Andersonland University Hospital,United Kingdom,Dr. Collins,2023-04-07,2023-04-12,10,10,Enrollment Complete
SITE-00337,CT-2025-0018,Schneidermouth Specialty Clinic,United Kingdom,Dr. Li,2023-08-24,2023-09-02,16,16,Enrollment Complete
SITE-00338,CT-2025-0018,Lake Ellenhaven Health Network,Netherlands,Dr. Cox,2023-10-22,2023-11-15,16,16,Enrollment Complete
SITE-00339,CT-2025-0018,Kyleborough University Medical Faculty,United Kingdom,Dr. Peterson,2023-09-02,2023-09-01,8,7,Enrollment Closed
SITE-00340,CT-2025-0018,Leeberg Memorial Hospital,Netherlands,Dr. Moore,2023-09-10,2023-09-28,14,14,Enrollment Complete
SITE-00341,CT-2025-0018,Meganville Memorial Hospital,Czech Republic,Dr. Romero,2023-08-16,2023-08-16,15,15,Enrollment Complete
SITE-00342,CT-2025-0018,Lake Matthewberg Clinical Research Center,Netherlands,Dr. Harper,2023-08-26,2023-09-05,16,14,Enrollment Closed
SITE-00343,CT-2025-0018,East Henry Medical Center,United Kingdom,Dr. Schwartz,2023-09-30,2023-10-13,11,10,Enrollment Closed
SITE-00344,CT-2025-0018,Lake Samuel Clinical Research Center,Czech Republic,Dr. Jenkins,2023-10-15,2023-11-02,15,14,Enrollment Closed
SITE-00345,CT-2025-0018,South Cheryl Memorial Hospital,Netherlands,Dr. Goodwin,2023-09-20,2023-09-16,7,7,Enrollment Complete
SITE-00346,CT-2025-0019,Youngbury Health Network,Netherlands,Dr. Collins,2024-08-20,2024-09-07,18,18,Enrollment Complete
SITE-00347,CT-2025-0019,Mckeeborough University Medical Faculty,Belgium,Dr. Richardson,2024-10-16,2024-11-19,21,21,Enrollment Complete
SITE-00348,CT-2025-0019,Murrayport University Hospital,Japan,Dr. Strickland,2024-09-22,2024-09-28,17,17,Enrollment Complete
SITE-00349,CT-2025-0019,Burchborough Specialty Clinic,South Korea,Dr. Solis,2024-08-04,2024-09-19,9,9,Enrollment Complete
SITE-00350,CT-2025-0019,Port John University Hospital,South Africa,Dr. Davidson,2024-10-12,2024-11-08,18,16,Enrolling
SITE-00351,CT-2025-0019,Angelaville Clinical Research Center,Belgium,Dr. Dawson,2024-10-07,2024-09-20,16,16,Enrollment Complete
SITE-00352,CT-2025-0019,West Christopherburgh Memorial Hospital,South Korea,Dr. Nelson,2024-09-13,2024-09-27,18,18,Enrollment Complete
SITE-00353,CT-2025-0019,Port Samuel University Hospital,South Korea,Dr. Potts,2024-10-18,2024-12-07,14,14,Enrollment Complete
SITE-00354,CT-2025-0019,Port Shannon Specialty Clinic,Belgium,Dr. Bailey,2024-09-02,2024-09-17,21,21,Enrollment Complete
SITE-00355,CT-2025-0019,South Brianhaven Health Network,Netherlands,Dr. Brooks,2024-09-17,2024-09-22,12,12,Enrollment Complete
SITE-00356,CT-2025-0019,Vangstad Memorial Hospital,South Africa,Dr. Walker,2024-10-08,2024-11-10,18,18,Enrollment Complete
SITE-00357,CT-2025-0019,Sarahmouth General Hospital,Netherlands,Dr. Moody,2024-08-14,2024-08-11,23,23,Enrollment Complete
SITE-00358,CT-2025-0019,North Justin Health Network,United States,Dr. Gallegos,2024-08-17,2024-08-16,8,8,Enrollment Complete
SITE-00359,CT-2025-0019,Port Janice Specialty Clinic,South Korea,Dr. West,2024-10-03,2024-10-05,19,19,Enrollment Complete
SITE-00360,CT-2025-0019,North Andrewborough General Hospital,South Africa,Dr. Conley,2024-10-09,2024-10-16,19,19,Enrollment Complete
SITE-00361,CT-2025-0019,Rodriguezport Medical Center,Japan,Dr. Young,2024-09-07,2024-08-21,19,19,Enrollment Complete
SITE-00362,CT-2025-0019,North Johnmouth Medical Center,South Africa,Dr. Brown,2024-09-25,2024-10-15,20,15,Enrolling
SITE-00363,CT-2025-0019,Carlsontown Regional Clinical Institute,South Korea,Dr. Chen,2024-09-27,2024-10-04,10,10,Enrollment Complete
SITE-00364,CT-2025-0019,Lake Douglas Health Network,South Africa,Dr. Patterson,2024-08-23,2024-08-08,11,11,Enrollment Complete
SITE-00365,CT-2025-0019,Johnchester Health Network,South Korea,Dr. Lopez,2024-10-10,2024-10-10,18,18,Enrollment Complete
SITE-00366,CT-2025-0019,New Theresaland Memorial Hospital,South Africa,Dr. Ashley,2024-09-18,2024-10-03,11,11,Enrollment Complete
SITE-00367,CT-2025-0019,South Morganton General Hospital,Japan,Dr. Reid,2024-10-09,2024-10-23,24,24,Enrollment Complete
SITE-00368,CT-2025-0019,Jontown Regional Clinical Institute,South Africa,Dr. Kelly,2024-10-03,2024-10-05,13,13,Enrollment Complete
SITE-00369,CT-2025-0020,West Johnville Health Network,United Kingdom,Dr. Ingram,2023-06-16,2023-08-22,12,12,Enrollment Complete
SITE-00370,CT-2025-0020,Dennisstad Memorial Hospital,Netherlands,Dr. Payne,2023-07-25,2023-08-10,12,11,Enrollment Closed
SITE-00371,CT-2025-0020,Port Kimberly Memorial Hospital,Netherlands,Dr. Marshall,2023-08-06,2023-09-09,6,5,Enrollment Closed
SITE-00372,CT-2025-0020,Welchberg Clinical Research Center,Poland,Dr. Brown,2023-07-04,2023-06-22,8,8,Enrollment Complete
SITE-00373,CT-2025-0020,Johnsonborough Specialty Clinic,United Kingdom,Dr. Williams,2023-06-25,2023-06-29,10,10,Enrollment Complete
SITE-00374,CT-2025-0020,North Leslie Clinical Research Center,South Africa,Dr. Collins,2023-08-19,2023-08-30,8,8,Enrollment Complete
SITE-00375,CT-2025-0020,Haysside General Hospital,Netherlands,Dr. Kennedy,2023-07-27,2023-07-04,6,6,Enrollment Complete
SITE-00376,CT-2025-0020,Port Deborahport General Hospital,Italy,Dr. Kelly,2023-06-10,2023-07-05,14,14,Enrollment Complete
SITE-00377,CT-2025-0020,Port Dianaview University Medical Faculty,Netherlands,Dr. Martinez,2023-06-16,2023-06-22,12,12,Enrollment Complete
SITE-00378,CT-2025-0020,Samuelfurt Memorial Hospital,Spain,Dr. Paul,2023-07-24,2023-07-22,9,9,Enrollment Complete
SITE-00379,CT-2025-0020,Morganburgh University Medical Faculty,South Korea,Dr. Crawford,2023-07-05,2023-07-15,10,10,Enrollment Complete
SITE-00380,CT-2025-0020,Richardsonhaven Regional Clinical Institute,South Africa,Dr. Adams,2023-07-13,2023-07-27,12,12,Enrollment Complete
SITE-00381,CT-2025-0020,Lake Rogerchester University Hospital,Poland,Dr. Morrison,2023-07-28,2023-07-19,8,8,Enrollment Complete
SITE-00382,CT-2025-0020,New Kelly Clinical Research Center,Belgium,Dr. Garcia,2023-07-02,2023-08-04,13,12,Enrollment Closed
SITE-00383,CT-2025-0020,Donnaport Memorial Hospital,Netherlands,Dr. Griffin,2023-05-30,2023-06-15,9,9,Enrollment Complete
SITE-00384,CT-2025-0020,Jacksonmouth Memorial Hospital,Spain,Dr. Bell,2023-07-23,2023-08-19,6,6,Enrollment Complete
SITE-00385,CT-2025-0020,Lake Mollystad Regional Clinical Institute,Spain,Dr. Mendez,2023-07-04,2023-06-25,15,15,Enrollment Complete
SITE-00386,CT-2025-0020,Hillton Regional Clinical Institute,South Africa,Dr. Jones,2023-08-01,2023-08-14,7,7,Enrollment Complete
SITE-00387,CT-2025-0020,Coxburgh Health Network,Spain,Dr. Cisneros,2023-06-23,2023-06-25,9,9,Enrollment Complete
SITE-00388,CT-2025-0020,Port Cathy University Medical Faculty,South Africa,Dr. Harrington,2023-06-18,2023-05-27,14,14,Enrollment Complete
SITE-00389,CT-2025-0020,East Carlosstad Clinical Research Center,Italy,Dr. Cox,2023-07-28,2023-09-23,11,6,Enrollment Closed
SITE-00390,CT-2025-0020,New Ericmouth Specialty Clinic,Netherlands,Dr. Rush,2023-05-24,2023-06-12,6,6,Enrollment Complete
SITE-00391,CT-2025-0020,Scottland Clinical Research Center,South Africa,Dr. Berry,2023-06-25,2023-07-16,5,5,Enrollment Complete
SITE-00392,CT-2025-0020,Raymondview Memorial Hospital,Italy,Dr. Wright,2023-06-24,2023-07-12,8,7,Enrollment Closed
SITE-00393,CT-2025-0020,North Jillfort University Hospital,Netherlands,Dr. Holmes,2023-08-03,2023-08-09,13,13,Enrollment Complete
SITE-00394,CT-2025-0020,West Kimberlymouth General Hospital,Italy,Dr. Lewis,2023-07-26,2023-08-19,7,7,Enrollment Complete
SITE-00395,CT-2025-0020,Heatherfort Health Network,Italy,Dr. Gonzalez,2023-06-30,2023-07-09,10,10,Enrollment Complete
SITE-00396,CT-2025-0020,Port Charles Medical Center,United States,Dr. Thompson,2023-06-04,2023-06-20,11,11,Enrollment Complete
SITE-00397,CT-2025-0020,Osbornmouth Medical Center,South Africa,Dr. Contreras,2023-08-05,2023-08-09,5,3,Enrollment Closed
SITE-00398,CT-2025-0020,New Amberport Medical Center,South Korea,Dr. York,2023-07-15,2023-07-30,9,6,Enrollment Closed
SITE-00399,CT-2025-0020,Port Michael Health Network,South Africa,Dr. Walker,2023-07-12,2023-08-05,15,15,Enrollment Complete
SITE-00400,CT-2025-0020,Port Dominic University Hospital,United States,Dr. Tyler,2023-08-10,2023-08-13,9,9,Enrollment Complete
